gppd_idnr,elevation_meters
GEODB0040538,1017
GEODB0040541,1663
GEODB0040534,1020
GEODB0040536,600
GEODB0040540,1829
GEODB0040537,638
GEODB0040535,962
WRI1002169,41
WRI1002170,291
WRI1002171,83
WRI1002172,326
WRI1002173,483
WRI1002174,115
WRI1002175,32
WRI1002176,0
WRI1023776,863
WRI1023795,4
WRI1023777,61
WRI1023792,35
WRI1023793,16
WRI1023781,137
WRI1023785,946
WRI1023768,15
WRI1023783,4
WRI1023796,173
WRI1023779,173
WRI1023790,170
WRI1023799,167
WRI1023798,507
WRI1023775,9
WRI1023784,6
WRI1023769,29
WRI1023815,45
WRI1023772,5
WRI1023789,5
WRI1023773,474
WRI1023774,9
WRI1023791,9
WRI1023780,53
WRI1023778,912
WRI1023771,4
WRI1023797,745
WRI1023786,9
WRI1023770,46
WRI1023782,965
WRI1023787,747
WRI1023788,740
WRI1023002,139
WRI1023001,139
WRI1023003,95
WRI1023004,879
WRI1023005,76
WRI1023006,1703
WRI1023007,91
WRI1023008,76
WRI1023009,76
WRI1023010,0
WRI1023011,1240
WRI1023012,15
WRI1023013,641
WRI1023014,1227
WRI1023843,
WRI1022458,
ARG0000231,286
ARG0000232,286
ARG0000210,1290
ARG0000230,721
ARG0000156,26
ARG0000235,268
ARG0000237,268
ARG0000236,268
ARG0000239,268
ARG0000238,268
ARG0000242,899
ARG0000194,1146
ARG0000254,343
ARG0000029,32
ARG0000030,32
ARG0000328,461
ARG0000266,815
ARG0000085,445
ARG0000220,815
ARG0000310,121
ARG0000159,27
ARG0000116,77
ARG0000275,968
ARG0000195,1228
ARG0000277,2563
ARG0000278,1650
ARG0000048,539
ARG0000049,550
ARG0000050,536
ARG0000183,281
ARG0000086,398
ARG0000031,8
ARG0000259,457
ARG0000319,326
ARG0000165,27
ARG0000166,27
ARG0000311,20
ARG0000274,749
ARG0000287,742
ARG0000330,190
ARG0000284,524
ARG0000155,10
ARG0000042,27
ARG0000043,742
ARG0000307,38
ARG0000296,995
ARG0000185,1173
ARG0000295,601
ARG0000267,270
ARG0000221,238
ARG0000072,161
ARG0000074,161
ARG0000067,199
ARG0000117,63
ARG0000046,16
ARG0000197,873
ARG0000087,507
ARG0000110,380
ARG0000217,134
ARG0000256,1609
ARG0000229,470
ARG0000003,40
ARG0000333,110
ARG0000334,110
ARG0000273,863
ARG0000113,130
ARG0000023,59
ARG0000028,42
ARG0000054,508
ARG0000257,1036
ARG0000314,89
ARG0000065,99
ARG0000189,1173
ARG0000260,272
ARG0000039,79
ARG0000147,25
ARG0000114,63
ARG0000032,9
ARG0000160,4
ARG0000139,45
ARG0000149,62
ARG0000004,113
ARG0000138,41
ARG0000336,409
ARG0000152,183
ARG0000055,512
ARG0000083,122
ARG0000059,111
ARG0000035,76
ARG0000040,14
ARG0000190,469
ARG0000191,469
ARG0000153,78
ARG0000024,17
ARG0000025,17
ARG0000066,57
ARG0000170,792
ARG0000036,90
ARG0000041,27
ARG0000005,11
ARG0000163,23
ARG0000258,610
ARG0000022,12
ARG0000026,188
ARG0000286,347
ARG0000148,55
ARG0000056,488
ARG0000141,53
ARG0000037,87
ARG0000027,16
ARG0000154,86
ARG0000337,376
ARG0000315,104
ARG0000184,167
ARG0000262,84
ARG0000062,93
ARG0000060,93
ARG0000038,369
ARG0000161,9
ARG0000341,376
ARG0000162,9
ARG0000142,76
ARG0000288,495
ARG0000057,574
ARG0000058,1217
ARG0000342,376
ARG0000316,116
ARG0000143,84
ARG0000061,77
ARG0000261,215
ARG0000297,1531
ARG0000088,399
ARG0000157,6
ARG0000158,9
ARG0000338,607
ARG0000196,787
ARG0000255,331
ARG0000211,909
ARG0000276,475
ARG0000112,537
ARG0000339,641
ARG0000119,38
ARG0000047,16
ARG0000240,902
ARG0000089,532
ARG0000079,127
ARG0000080,352
ARG0000329,345
ARG0000182,313
ARG0000090,177
ARG0000208,1005
ARG0000121,40
ARG0000137,40
ARG0000269,138
ARG0000272,478
ARG0000091,122
ARG0000123,74
ARG0000124,74
ARG0000270,290
ARG0000125,70
ARG0000164,7
ARG0000188,473
ARG0000222,104
ARG0000094,856
ARG0000169,1039
ARG0000209,851
ARG0000096,534
ARG0000097,534
ARG0000331,200
ARG0000212,955
ARG0000200,1072
ARG0000201,1072
ARG0000202,1072
ARG0000203,1072
ARG0000198,1072
ARG0000199,1072
ARG0000006,130
ARG0000007,8
ARG0000015,29
ARG0000128,79
ARG0000129,96
ARG0000111,434
ARG0000008,5
ARG0000214,1176
ARG0000215,1027
ARG0000216,890
ARG0000213,843
ARG0000323,322
ARG0000044,9
ARG0000223,309
ARG0000016,32
ARG0000001,15
ARG0000192,895
ARG0000193,895
ARG0000081,505
ARG0000082,687
ARG0000075,134
ARG0000076,49
ARG0000077,49
ARG0000132,73
ARG0000078,99
ARG0000133,64
ARG0000305,286
ARG0000304,287
ARG0000233,324
ARG0000099,410
ARG0000100,324
ARG0000101,325
ARG0000241,488
ARG0000298,819
ARG0000289,651
ARG0000340,1623
ARG0000073,135
ARG0000045,8
ARG0000017,76
ARG0000299,104
ARG0000282,1532
ARG0000103,434
ARG0000104,13
ARG0000332,274
ARG0000271,114
ARG0000144,819
ARG0000105,117
ARG0000250,700
ARG0000002,15
ARG0000227,529
ARG0000107,542
ARG0000181,319
ARG0000135,69
ARG0000313,18
ARG0000108,472
ARG0000283,493
ARG0000034,23
ARG0000312,75
