Country,Institution,Type,Project,Amount (in USD),Financial Close,Region,Recipient Country,Recipient Subregion,Project Sponsor,Construction Company,Generator Manufacturer,Source 1,Notes,Source 2,Source 3,Sector Group,Sector,Plant Type,Total Project Value ,Status,Power Plant Size (MW) or Share ,Annual Emissions (MMTCO2),Lifetime Emissions (MMTCO2) ,Coal Mine Size (Mtpa) ,Full MW Size ,Parent Company,SSS Manufacturer,Turbine Manufacturer,Architechture/Engineering,GPPD ID,Latitude,Longitude,Location Source
Australia,Export Finance and Insurance Corporation (EFIC),Export Credit & Insurance,NRW Holdings Ltd,"$26,781,000 ",1/1/2013,N/A,Global,,NRW Holdings Ltd,,,"OECD data on export credit support for fossil fuel power plants and fossil fuel extraction projects, 9 October 2014","Mining / construction services
EFIC RESPONSE: Multiple references to NRW are incorrectly allocated to coal mining.  The bonding lines provided in each instance were in relation to iron ore mining operations",,,Other/Unspecified,Coal - Policy,,,Financial Close,,0,0,,,,,,,,,,
Australia,Export Finance and Insurance Corporation (EFIC),Export Credit & Insurance,Xstrata Coal Queensland,"$35,261,650 ",1/1/2013,N/A,Global,,Xstrata Coal Queensland,,,"OECD data on export credit support for fossil fuel power plants and fossil fuel extraction projects, 9 October 2014",Coking coal mining,,,Other/Unspecified,Coal - Policy,,,Financial Close,,0,0,,,,,,,,,,
Australia,Export Finance and Insurance Corporation (EFIC),Export Credit & Insurance,Anglo Coal Australia,"$36,020,445 ",1/1/2013,N/A,Global,,Anglo Coal Australia,,,"OECD data on export credit support for fossil fuel power plants and fossil fuel extraction projects, 9 October 2014",Support for coking coal mining,,,Other/Unspecified,Coal - Policy,,,Financial Close,,0,0,,,,,,,,,,
China,China Development Bank,Other Public Financer,"TELUK SIRIH POWER
STATION","$94,000,000 ",1/1/2013,Southeast Asia,Indonesia,,PT PLN Persero,,,http://www.sourcewatch.org/index.php/Teluk_Sirih_power_station,,http://climatepolicyinitiative.org/wp-content/uploads/2015/11/Slowing-the-Growth-of-Coal-Power-Outside-China.pdf,,Other/Unspecified,Coal - Policy,,,Financial Close,224,0.25,10,,,,,,,,,,
Germany,Euler Hermes,Export Credit & Insurance,Coal-fired power plants: ball track incl. fixtures,"$383,142 ",1/1/2013,Europe,Greece,,Not identified,,,,Parliamentary Inquiry. 0.3 million euros,,,Other/Unspecified,Coal - Policy,,,Financial Close,,0,0,,,,,,,,,,
Germany,Euler Hermes,Export Credit & Insurance,Coal-fired power plants: steam generator plant and turbine unit,"$895,410,886 ",1/1/2013,Europe,Greece,,Not identified,,,,Parliamentary Inquiry. 839 million euros.,,,Other/Unspecified,Coal - Policy,,,Financial Close,,0,0,,,,,,,,,,
Germany,Euler Hermes,Export Credit & Insurance,Coal-fired power plants: steam turbines/generators for a coal-fired power plant,"$81,736,909 ",1/1/2013,South Asia,India,,Not identified,,,,Parliamentary Inquiry. 64 million euros,,,Other/Unspecified,Coal - Policy,,,Financial Close,,0,0,,,,,,,,,,
Germany,Euler Hermes,Export Credit & Insurance,Coal-fired power plants: power plant units,"$219,667,944 ",1/1/2013,Middle East & North Africa,Israel,,Not identified,,,,172 million euros ,,,Other/Unspecified,Coal - Policy,,,Financial Close,,0,0,,,,,,,,,,
Germany,Euler Hermes,Export Credit & Insurance,Coal-fired power plants:  modernisation of coal mixing storage bays,"$38,314,176 ",1/1/2013,Central Asia and Caucasus,Kazakhstan,,Not identified,,,,Parliamentary Inquiry. 30 million euros,,,Other/Unspecified,Coal - Policy,,,Financial Close,,0,0,,,,,,,,,,
Germany,Euler Hermes,Export Credit & Insurance,"Coalmining machinery: crushers, conveyors, spreaders, installation engineering","$71,519,796 ",1/1/2013,Central Asia and Caucasus,Kazakhstan,,Not identified,,,,Parliamentary Inquiry. 56m euros,,,Other/Unspecified,Coal - Policy,,,Financial Close,,0,0,,,,,,,,,,
Germany,Kreditanstalt für Wiederaufbau (KfW),Other Public Financer,Not identified,"$31,222,946 ",1/1/2013,N/A,Not identified,,Not identified,,,,"KfW response to Parliament says that through Oct. 31, 2013 they invested 185,023940 euros in coal projects. Since KfW didn't break out the data per project we have classifed it as unspecified. The value assigned to this unspecified is the difference between the data KfW reported to Parliament and the amount that we were able to document using public data. This value--the difference-- was converted to USD using the currency rate as of Oct. 31, 2013. As of October 31, 2013.",,,Other/Unspecified,Coal - Policy,,,Financial Close,,0,0,,,,,,,,,,
Germany,Euler Hermes,Export Credit & Insurance,Coal processing: equipment for manufacturing briquettes,"$2,554,278 ",1/1/2013,Central Asia and Caucasus,Russia,,Not identified,,,,Parliamentary Inquiry. 2m euros,,,Other/Unspecified,Coal - Policy,,,Financial Close,,0,0,,,,,,,,,,
Germany,Euler Hermes,Export Credit & Insurance,Coalmining machinery: equipment for mining coal,"$38,314,176 ",1/1/2013,Central Asia and Caucasus,Russia,,Not identified,,,,Parliamentary Inquiry. 30m euros,,,Other/Unspecified,Coal - Policy,,,Financial Close,,0,0,,,,,,,,,,
France,Agence Francaise de Development,Other Public Financer,Ashegoda Wind (120 MW),"$59,000,000 ",1/1/2013,Sub-Saharan Africa,Ethiopia,Mekele,Vergnet and Alstom Wind,,,http://afd.fr/en/ethiopias-first-wind-farm-mekele?origin=/en/recherche?query=%2A&page=all&view=map&filter%5B0%5D=language%3D%22en%22&filter%5B1%5D=type_k%3D%22page_afd_project%22&filter%5B2%5D=type_k%3D%22page_ong_project%22&filter%5B3%5D=type_k%3D%22page_research_project%22&filter%5B4%5D=source%3D%22afd%22&filter%5B5%5D=thematic_k%3D%22%C3%89nergie%22&size=10000&from=0&sort=_score%2Cdesc&facetOptions%5B0%5D=funding_program_k%2Csize%2C200&facetOptions%5B1%5D=funding_type_k%2Csize%2C200&facetOptions%5B2%5D=thematic_k%2Csize%2C200&facetOptions%5B3%5D=country_k%2Csize%2C200&facetOptions%5B4%5D=year_k%2Csize%2C200&facetOptions%5B5%5D=program_family_k%2Csize%2C200,"AFD has granted a EUR 45m soft loan to EEP for the construction of the country’s first wind farm in Ashegoda, near Mekele, by the French companies Vergnet and Alstom Wind. The total project cost stood at EUR 231.7m: EUR 130m were provided by a pool of French banks with a Coface guarantee, EUR 40m via a BNP Paribas loan, with the remaining EUR 16.7m financed by EEP. This wind farm is the first to have been installed in Ethiopia, and is one of the largest in Sub-Saharan Africa with an installed capacity of 120 MW.",,,Renewables,Onshore Wind,,"$312,970,000 ",Financial Close,120,,,,120,,,,,,,,
France,Agence Francaise de Development,Other Public Financer,Zagtouli Photovoltaic Power Station,"$29,706,075 ",1/1/2013,Sub-Saharan Africa,Burkina Faso,,Government of Burkino Faso,,,Oil Change International’s Shift the Subsidies Database,,http://www.afd.fr/webdav/site/afd/shared/PUBLICATIONS/INSTITUTIONNEL/rapports-annuels/annual-report-afd-2013.pdf (see p.61),,Renewables,Solar,,,,,,,,,,,,,,,,
United States,Overseas Private Investment Corporation,Other Public Financer,Humboldt Current (Peru),"$192,755,250 ",1/1/2013,Latin America & Caribbean,Peru,,ContourGlobal,,,Oil Change International’s Shift the Subsidies Database,,"https://www.opic.gov/sites/default/files/files/OPIC_AR2013_final.pdf (see pp.5, 28)    

https://www.opic.gov/press-releases/2013/opic-board-approves-financing-wind-projects-pakistan-peru",,Renewables,Wind,,,,114,,,,,,,,,,,,
United States,Overseas Private Investment Corporation,Other Public Financer,NextGen Solawazi Limited,"$9,740,000 ",1/1/2013,Sub-Saharan Africa,Tanzania,,"Mayank Bhargava, Anil Nanji, NextGen Solawazi Limited ",,,Oil Change International’s Shift the Subsidies Database,,"https://www.opic.gov/sites/default/files/files/OPIC_AR2013_final.pdf (see pp.5, 26)   

https://www.opic.gov/sites/default/files/files/nextgen-information-summary-2013.pdf",,Renewables,Solar,,,,5,,,,,,,,,,,,
United States,Overseas Private Investment Corporation,Other Public Financer,Melowind,"$96,000,000 ",1/1/2013,Latin America & Caribbean,Uruguay,,Nordex USA,,,Oil Change International’s Shift the Subsidies Database,,"https://www.opic.gov/sites/default/files/files/OPIC_AR2013_final.pdf (see p.28)   

https://www.opic.gov/sites/default/files/files/melowind-public-information-summary.pdf    

https://www.opic.gov/press-releases/2013/opic-board-approves-financing-wind-farm-uruguay",,Renewables,Wind,,,,50,,,,,,,,,URY0000794,-32.5828,-54.2302,WRI
United States,Overseas Private Investment Corporation,Other Public Financer,PV Salvador Atacama Solar Financing ,"$155,000,000 ",1/1/2013,Latin America & Caribbean,Chile,,"Etrion, Total + SunPower Corporation, Solventus Energias Renovables ",,,Oil Change International’s Shift the Subsidies Database,,"https://www.opic.gov/sites/default/files/files/OPIC_AR2013_final.pdf (see p.28)   

https://www.opic.gov/sites/default/files/files/PV%20Salvador%20Public%20Summary.pdf   

https://ijglobal.com/data/transaction/27929/salvador-atacama-solar-financing-70mw",,Renewables,Solar,,,,70,,,,,,,,,CHL0004012,-26.3141,-69.8681,WRI
Multilateral,Asian Development Bank (ADB),Multilateral,Off Grid Pay-As-You-Go Solar Power,"$2,000,000 ",1/15/2013,South Asia,India,,Simpa Networks,,,"Oil Change International ""Fossil Fuel Finance at the Multilateral Development Banks: The Low-Hanging Fruit of Paris Compliance"" http://priceofoil.org/2017/05/24/fossil-fuel-finance-mdbs-paris/",,"http://www.adb.org/projects/46931-014/main
http://www.adb.org/sites/default/files/ar2013/od-appendix8.pdf
http://www.adb.org/sites/default/files/projdocs/2013/46931-014-ind-rrp.pdf",,Renewables,Solar,,,Financial Close,,,,,,,,,,,,,
Italy,Servizi Assicurativi del Commercio Estero (SACE),Export Credit & Insurance,Floating Transfer Stations for Transshipping Coal from East Kalimantan Mines,"$57,800,000 ",1/29/2013,Southeast Asia,Indonesia,,Coeclerici Group,,,http://www.sace.it/GruppoSACE/export/sites/default/download/comunicati/2013/20130129-CS_-Coeclerici_SACE_Indonesia_EN.pdf,"In response to an inquiry from NRDC on the values staff at SACE pointed out that this loan is for ""shipping equipment"". However, the investment documentation from SACE clearly states that this is a project for shipping coal so we have documented as a project to support coal mining - exports. This is a similar methodology as we have followed with other investments -- where the investment is directly supportive of a coal project even if the project doesn't explicitly cover a coal mine or coal power plant",,,Other/Unspecified,Coal - Policy,,,Financial Close,,0,0,18,,,,,,,,,
China,China Development Bank,Other Public Financer,Negrete Cuel Wind Farm Financing (33MW),"$52,000,000 ",2/4/2013,Latin America & Caribbean,Chile,,,,,IJ Global: Project Finance and Infrastructure Journal,,,,Renewables,Onshore Wind,,,Financial Close,33,,,,33,,,,,CHL0002007,-37.5107,-72.4937,WRI
Multilateral,World Bank - International Finance Corporation,Multilateral,SEI Solar Power Pvt. Ltd,"$12,200,000 ",2/22/2013,South Asia,India,,SEI Solar Power,,,"Oil Change International ""Fossil Fuel Finance at the Multilateral Development Banks: The Low-Hanging Fruit of Paris Compliance"" http://priceofoil.org/2017/05/24/fossil-fuel-finance-mdbs-paris/",,http://ifcext.ifc.org/ifcext/spiwebsite1.nsf/651aeb16abd09c1f8525797d006976ba/081d378454b4d92885257ab80062ba91?opendocument,,Renewables,Solar,,,Financial Close,24,,,,,,,,,WRI1026197,27.4092,72.2193,WRI
Multilateral,World Bank - International Finance Corporation,Multilateral,Parques Eolicos del Caribe S.A,"$32,000,000 ",2/25/2013,Latin America & Caribbean,Dominican Republic,,PECASA,,,"Oil Change International ""Fossil Fuel Finance at the Multilateral Development Banks: The Low-Hanging Fruit of Paris Compliance"" http://priceofoil.org/2017/05/24/fossil-fuel-finance-mdbs-paris/",,https://ifcndd.ifc.org/ifcext/spiwebsite1.nsf/78e3b305216fcdba85257a8b0075079d/b84cf23f48a88ed385257a5d006f71e3?opendocument,,Renewables,Wind,,,Financial Close,,,,,,,,,,,,,
